ID,HEALTH FACILITY,FACILITY TYPE,District,Sector,cell,village,Latitude,Longitude,Province,Sect_ID,EQUIPMENT,Number of Doctors,Number of Nurses,operation year,Patients_per_Month,EQUIPMENTS,DISEASES
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,Microbiology,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,Ultra Sound,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,X-Ray Machine,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",Bone and joint disease other_Hosp_RH
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,X-Ray Machine,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",Delivery_Pneumonia on pregnancy_OPD New cases
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,X-Ray Machine,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",Dental caries_OPD
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,X-Ray Machine,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",Fractures_OPDDH
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,X-Ray Machine,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",Fractures_OPDDH
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,X-Ray Machine,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",OPD_Acute respiratory disease other
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,X-Ray Machine,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",OPD_Bacterial infection or severe disease
543.0,DIVINE GRACE MEDICAL CLINIC LTD,CLINIC,Bugesera,Nyamata,Ndekwe,Mwesa,-2.114857423756643,30.14602787408658,Eastern Province,5710,X-Ray Machine,4,2,8.0,480.0,"Ultrasonic scaler, Dental Unit, Microbiology, X-Ray Machine, Real-Time PCR System, Echography , Ultra Sound, Microscope, Digital X-Ray",OPD_Benign tumors other_RH
